text_input,output
"<mml:mi>κ</mml:mi>
<mml:mo>=</mml:mo>
<mml:mrow>
<mml:mfrac>
<mml:mrow>
<mml:msup>
<mml:mtext>exp</mml:mtext>
<mml:mrow>
<mml:mrow>
<mml:mo>-</mml:mo>
<mml:msub>
<mml:mi>D</mml:mi>
<mml:mrow>
<mml:mi>p</mml:mi>
<mml:mi>n</mml:mi>
<mml:mi>Ν</mml:mi>
</mml:mrow>
</mml:msub>
</mml:mrow>
<mml:mo>+</mml:mo>
<mml:mi>Κ</mml:mi>
</mml:mrow>
</mml:msup>
<mml:mrow>
<mml:mi>sin</mml:mi>
<mml:mfenced>
<mml:msub>
<mml:mi>Ζ</mml:mi>
<mml:mrow>
<mml:mi>p</mml:mi>
<mml:mi>e</mml:mi>
<mml:mi>τ</mml:mi>
</mml:mrow>
</mml:msub>
</mml:mfenced>
</mml:mrow>
</mml:mrow>
<mml:mrow>
<mml:mi>tan</mml:mi>
<mml:mfenced>
<mml:mi>Μ</mml:mi>
</mml:mfenced>
</mml:mrow>
</mml:mfrac>
</mml:mrow>","κ = Symbol('κ')
D_pnΝ = Symbol('D_pnΝ')
Κ = Symbol('Κ')
Ζ_peτ = Symbol('Ζ_peτ')
Μ = Symbol('Μ')
e = Eq(κ, exp(-D_pnΝ + Κ)*sin(Ζ_peτ)/tan(Μ))"
"<mml:mi>β</mml:mi>
<mml:mo>=</mml:mo>
<mml:mrow>
<mml:mi>s</mml:mi>
<mml:mo>-</mml:mo>
<mml:mrow>
<mml:mi>log</mml:mi>
<mml:mfenced>
<mml:mrow>
<mml:mi>J</mml:mi>
<mml:mo>+</mml:mo>
<mml:mn>1</mml:mn>
</mml:mrow>
</mml:mfenced>
</mml:mrow>
<mml:mo>+</mml:mo>
<mml:mrow>
<mml:mi>sin</mml:mi>
<mml:mfenced>
<mml:mi>Υ</mml:mi>
</mml:mfenced>
</mml:mrow>
</mml:mrow>","β = Symbol('β')
s = Symbol('s')
J = Symbol('J')
Υ = Symbol('Υ')
e = Eq(β, s - log(J + 1) + sin(Υ))"
"<mml:msub>
<mml:mi>N</mml:mi>
<mml:mi>Β</mml:mi>
</mml:msub>
<mml:mo>=</mml:mo>
<mml:mrow>
<mml:mn>8</mml:mn>
<mml:mo>+</mml:mo>
<mml:mrow>
<mml:mfrac>
<mml:mrow>
<mml:mi>log</mml:mi>
<mml:mfenced>
<mml:msub>
<mml:mi>χ</mml:mi>
<mml:mi>T</mml:mi>
</mml:msub>
</mml:mfenced>
</mml:mrow>
<mml:mrow>
<mml:mi>log</mml:mi>
<mml:mfenced>
<mml:msub>
<mml:mi>M</mml:mi>
<mml:mrow>
<mml:mi>Σ</mml:mi>
<mml:mi>γ</mml:mi>
</mml:mrow>
</mml:msub>
</mml:mfenced>
</mml:mrow>
</mml:mfrac>
</mml:mrow>
</mml:mrow>","N_Β = Symbol('N_Β')
χ_T = Symbol('χ_T')
M_Σγ = Symbol('M_Σγ')
e = Eq(N_Β, 8 + log(χ_T)/log(M_Σγ))"
"<mml:mi>L</mml:mi>
<mml:mo>=</mml:mo>
<mml:mrow>
<mml:msup>
<mml:mtext>exp</mml:mtext>
<mml:mi>ρ</mml:mi>
</mml:msup>
<mml:mo>+</mml:mo>
<mml:mrow>
<mml:mi>tan</mml:mi>
<mml:mfenced>
<mml:mi>Z</mml:mi>
</mml:mfenced>
</mml:mrow>
</mml:mrow>","L = Symbol('L')
ρ = Symbol('ρ')
Z = Symbol('Z')
e = Eq(L, exp(ρ) + tan(Z))"
"<mml:mi>π</mml:mi>
<mml:mo>=</mml:mo>
<mml:mrow>
<mml:mfrac>
<mml:mrow>
<mml:mi>cos</mml:mi>
<mml:mfenced>
<mml:msub>
<mml:mi>ι</mml:mi>
<mml:mrow>
<mml:mi>B</mml:mi>
<mml:mi>L</mml:mi>
</mml:mrow>
</mml:msub>
</mml:mfenced>
</mml:mrow>
<mml:msup>
<mml:mi>F</mml:mi>
<mml:mrow>
<mml:mfrac>
<mml:mrow>
<mml:mi>log</mml:mi>
<mml:mfenced>
<mml:mrow>
<mml:mn>4</mml:mn>
<mml:mi>W</mml:mi>
</mml:mrow>
</mml:mfenced>
</mml:mrow>
<mml:mn>2</mml:mn>
</mml:mfrac>
</mml:mrow>
</mml:msup>
</mml:mfrac>
</mml:mrow>","π = Symbol('π')
ι_BL = Symbol('ι_BL')
W = Symbol('W')
F = Symbol('F')
e = Eq(π, cos(ι_BL)/F**(log(4*W)/2))"
"<mml:mi>V</mml:mi>
<mml:mo>=</mml:mo>
<mml:mrow>
<mml:mfrac>
<mml:mrow>
<mml:mi>tan</mml:mi>
<mml:mfenced>
<mml:msub>
<mml:mi>L</mml:mi>
<mml:mrow>
<mml:mi>Γ</mml:mi>
<mml:mi>ρ</mml:mi>
<mml:mi>l</mml:mi>
</mml:mrow>
</mml:msub>
</mml:mfenced>
</mml:mrow>
<mml:mn>8</mml:mn>
</mml:mfrac>
</mml:mrow>","V = Symbol('V')
L_Γρl = Symbol('L_Γρl')
e = Eq(V, tan(L_Γρl)/8)"
"<mml:msub>
<mml:mi>c</mml:mi>
<mml:mrow>
<mml:mi>ζ</mml:mi>
<mml:mi>v</mml:mi>
</mml:mrow>
</mml:msub>
<mml:mo>=</mml:mo>
<mml:mrow>
<mml:msub>
<mml:mi>L</mml:mi>
<mml:mrow>
<mml:mi>ι</mml:mi>
<mml:mi>g</mml:mi>
</mml:mrow>
</mml:msub>
<mml:mrow>
<mml:mi>sin</mml:mi>
<mml:mfenced>
<mml:msub>
<mml:mi>c</mml:mi>
<mml:mrow>
<mml:mi>Ο</mml:mi>
<mml:mi>Ο</mml:mi>
</mml:mrow>
</mml:msub>
</mml:mfenced>
</mml:mrow>
</mml:mrow>","c_ζv = Symbol('c_ζv')
L_ιg = Symbol('L_ιg')
c_ΟΟ = Symbol('c_ΟΟ')
e = Eq(c_ζv, L_ιg*sin(c_ΟΟ))"
"<mml:mi>Α</mml:mi>
<mml:mo>=</mml:mo>
<mml:msup>
<mml:mrow>
<mml:mi>tan</mml:mi>
<mml:mfenced>
<mml:msub>
<mml:mi>T</mml:mi>
<mml:mrow>
<mml:mi>χ</mml:mi>
<mml:mi>ε</mml:mi>
</mml:mrow>
</mml:msub>
</mml:mfenced>
</mml:mrow>
<mml:mrow>
<mml:mi>cos</mml:mi>
<mml:mfenced>
<mml:msup>
<mml:msub>
<mml:mi>m</mml:mi>
<mml:mi>τ</mml:mi>
</mml:msub>
<mml:mn>8</mml:mn>
</mml:msup>
</mml:mfenced>
</mml:mrow>
</mml:msup>","Α = Symbol('Α')
m_τ = Symbol('m_τ')
T_χε = Symbol('T_χε')
e = Eq(Α, tan(T_χε)**cos(m_τ**8))"
"<mml:msub>
<mml:mi>q</mml:mi>
<mml:mi>β</mml:mi>
</mml:msub>
<mml:mo>=</mml:mo>
<mml:mrow>
<mml:mrow>
<mml:mo>-</mml:mo>
<mml:mi>A</mml:mi>
</mml:mrow>
<mml:mo>+</mml:mo>
<mml:mrow>
<mml:msqrt>
<mml:msub>
<mml:mi>g</mml:mi>
<mml:mrow>
<mml:mi>O</mml:mi>
<mml:mi>Π</mml:mi>
<mml:mi>f</mml:mi>
</mml:mrow>
</mml:msub>
</mml:msqrt>
<mml:msqrt>
<mml:msub>
<mml:mi>l</mml:mi>
<mml:mrow>
<mml:mi>8</mml:mi>
<mml:mi>6</mml:mi>
</mml:mrow>
</mml:msub>
</mml:msqrt>
</mml:mrow>
</mml:mrow>","q_β = Symbol('q_β')
A = Symbol('A')
g_OΠf = Symbol('g_OΠf')
l_86 = Symbol('l_86')
e = Eq(q_β, -A + sqrt(g_OΠf)*sqrt(l_86))"
"<mml:mi>υ</mml:mi>
<mml:mo>=</mml:mo>
<mml:mrow>
<mml:mfrac>
<mml:mrow>
<mml:mi>cos</mml:mi>
<mml:mfenced>
<mml:mtext>exp</mml:mtext>
</mml:mfenced>
</mml:mrow>
<mml:msqrt>
<mml:mi>P</mml:mi>
</mml:msqrt>
</mml:mfrac>
</mml:mrow>","υ = Symbol('υ')
P = Symbol('P')
e = Eq(υ, cos(E)/sqrt(P))"
"<mml:mi>D</mml:mi>
<mml:mo>=</mml:mo>
<mml:mrow>
<mml:mrow>
<mml:mi>cos</mml:mi>
<mml:mfenced>
<mml:mi>ω</mml:mi>
</mml:mfenced>
</mml:mrow>
<mml:mo>-</mml:mo>
<mml:mrow>
<mml:mfrac>
<mml:mrow>
<mml:mi>sin</mml:mi>
<mml:mfenced>
<mml:mrow>
<mml:mfrac>
<mml:msub>
<mml:mi>q</mml:mi>
<mml:mi>Θ</mml:mi>
</mml:msub>
<mml:mi>ω</mml:mi>
</mml:mfrac>
</mml:mrow>
</mml:mfenced>
</mml:mrow>
<mml:mrow>
<mml:mi>log</mml:mi>
<mml:mfenced>
<mml:msub>
<mml:mi>Λ</mml:mi>
<mml:mrow>
<mml:mi>F</mml:mi>
<mml:mi>S</mml:mi>
</mml:mrow>
</mml:msub>
</mml:mfenced>
</mml:mrow>
</mml:mfrac>
</mml:mrow>
</mml:mrow>","D = Symbol('D')
ω = Symbol('ω')
q_Θ = Symbol('q_Θ')
Λ_FS = Symbol('Λ_FS')
e = Eq(D, cos(ω) - sin(q_Θ/ω)/log(Λ_FS))"
"<mml:msub>
<mml:mi>Y</mml:mi>
<mml:mi>6</mml:mi>
</mml:msub>
<mml:mo>=</mml:mo>
<mml:mrow>
<mml:msup>
<mml:mtext>exp</mml:mtext>
<mml:msub>
<mml:mi>s</mml:mi>
<mml:mrow>
<mml:mi>E</mml:mi>
<mml:mi>q</mml:mi>
<mml:mi>Β</mml:mi>
</mml:mrow>
</mml:msub>
</mml:msup>
<mml:msup>
<mml:mrow>
<mml:mi>cos</mml:mi>
<mml:mfenced>
<mml:msup>
<mml:mi>ρ</mml:mi>
<mml:mn>5</mml:mn>
</mml:msup>
</mml:mfenced>
</mml:mrow>
<mml:mrow>
<mml:mi>log</mml:mi>
<mml:mfenced>
<mml:mrow>
<mml:msub>
<mml:mi>O</mml:mi>
<mml:mrow>
<mml:mi>Ψ</mml:mi>
<mml:mi>Ο</mml:mi>
</mml:mrow>
</mml:msub>
<mml:msub>
<mml:mi>Ν</mml:mi>
<mml:mrow>
<mml:mi>ο</mml:mi>
<mml:mi>S</mml:mi>
</mml:mrow>
</mml:msub>
</mml:mrow>
</mml:mfenced>
</mml:mrow>
</mml:msup>
</mml:mrow>","Y_6 = Symbol('Y_6')
s_EqΒ = Symbol('s_EqΒ')
O_ΨΟ = Symbol('O_ΨΟ')
Ν_οS = Symbol('Ν_οS')
ρ = Symbol('ρ')
e = Eq(Y_6, exp(s_EqΒ)*cos(ρ**5)**log(O_ΨΟ*Ν_οS))"
"<mml:msub>
<mml:mi>T</mml:mi>
<mml:mrow>
<mml:mi>y</mml:mi>
<mml:mi>f</mml:mi>
<mml:mi>Κ</mml:mi>
</mml:mrow>
</mml:msub>
<mml:mo>=</mml:mo>
<mml:mrow>
<mml:mrow>
<mml:mrow>
<mml:mi>log</mml:mi>
<mml:mfenced>
<mml:msub>
<mml:mi>i</mml:mi>
<mml:mi>F</mml:mi>
</mml:msub>
</mml:mfenced>
</mml:mrow>
<mml:mrow>
<mml:mi>tan</mml:mi>
<mml:mfenced>
<mml:mi>x</mml:mi>
</mml:mfenced>
</mml:mrow>
</mml:mrow>
<mml:mo>-</mml:mo>
<mml:mn>1</mml:mn>
</mml:mrow>","T_yfΚ = Symbol('T_yfΚ')
i_F = Symbol('i_F')
x = Symbol('x')
e = Eq(T_yfΚ, log(i_F)*tan(x) - 1)"
"<mml:mi>Δ</mml:mi>
<mml:mo>=</mml:mo>
<mml:mrow>
<mml:mrow>
<mml:mo>-</mml:mo>
<mml:msup>
<mml:mtext>exp</mml:mtext>
<mml:msub>
<mml:mi>o</mml:mi>
<mml:mi>λ</mml:mi>
</mml:msub>
</mml:msup>
</mml:mrow>
<mml:mo>+</mml:mo>
<mml:mrow>
<mml:mfrac>
<mml:mrow>
<mml:mi>tan</mml:mi>
<mml:mfenced>
<mml:msub>
<mml:mi>Q</mml:mi>
<mml:mi>R</mml:mi>
</mml:msub>
</mml:mfenced>
</mml:mrow>
<mml:mrow>
<mml:mi>sin</mml:mi>
<mml:mfenced>
<mml:mrow>
<mml:mi>G</mml:mi>
<mml:mi>Ι</mml:mi>
</mml:mrow>
</mml:mfenced>
</mml:mrow>
</mml:mfrac>
</mml:mrow>
</mml:mrow>","Δ = Symbol('Δ')
o_λ = Symbol('o_λ')
Q_R = Symbol('Q_R')
G = Symbol('G')
Ι = Symbol('Ι')
e = Eq(Δ, -exp(o_λ) + tan(Q_R)/sin(G*Ι))"
"<mml:msub>
<mml:mi>ν</mml:mi>
<mml:mrow>
<mml:mi>v</mml:mi>
<mml:mi>Κ</mml:mi>
</mml:mrow>
</mml:msub>
<mml:mo>=</mml:mo>
<mml:mrow>
<mml:msqrt>
<mml:msub>
<mml:mi>Υ</mml:mi>
<mml:mrow>
<mml:mi>α</mml:mi>
<mml:mi>Z</mml:mi>
</mml:mrow>
</mml:msub>
</mml:msqrt>
<mml:mo>-</mml:mo>
<mml:msup>
<mml:msub>
<mml:mi>Ω</mml:mi>
<mml:mrow>
<mml:mi>j</mml:mi>
<mml:mi>T</mml:mi>
</mml:mrow>
</mml:msub>
<mml:mrow>
<mml:mi>log</mml:mi>
<mml:mfenced>
<mml:mrow>
<mml:mn>6</mml:mn>
<mml:mi>R</mml:mi>
</mml:mrow>
</mml:mfenced>
</mml:mrow>
</mml:msup>
</mml:mrow>","ν_vΚ = Symbol('ν_vΚ')
Υ_αZ = Symbol('Υ_αZ')
R = Symbol('R')
Ω_jT = Symbol('Ω_jT')
e = Eq(ν_vΚ, sqrt(Υ_αZ) - Ω_jT**log(6*R))"
"<mml:mi>x</mml:mi>
<mml:mo>=</mml:mo>
<mml:mrow>
<mml:msup>
<mml:mtext>exp</mml:mtext>
<mml:mi>P</mml:mi>
</mml:msup>
<mml:mo>+</mml:mo>
<mml:mn>1</mml:mn>
</mml:mrow>","x = Symbol('x')
P = Symbol('P')
e = Eq(x, exp(P) + 1)"
"<mml:msub>
<mml:mi>P</mml:mi>
<mml:mrow>
<mml:mi>E</mml:mi>
<mml:mi>π</mml:mi>
<mml:mi>δ</mml:mi>
</mml:mrow>
</mml:msub>
<mml:mo>=</mml:mo>
<mml:mrow>
<mml:mrow>
<mml:mi>tan</mml:mi>
<mml:mfenced>
<mml:mi>ξ</mml:mi>
</mml:mfenced>
</mml:mrow>
<mml:mo>+</mml:mo>
<mml:mn>7</mml:mn>
</mml:mrow>","P_Eπδ = Symbol('P_Eπδ')
ξ = Symbol('ξ')
e = Eq(P_Eπδ, tan(ξ) + 7)"
"<mml:mi>τ</mml:mi>
<mml:mo>=</mml:mo>
<mml:mrow>
<mml:mrow>
<mml:mi>sin</mml:mi>
<mml:mfenced>
<mml:mi>W</mml:mi>
</mml:mfenced>
</mml:mrow>
<mml:mo>+</mml:mo>
<mml:mrow>
<mml:mi>cos</mml:mi>
<mml:mfenced>
<mml:msub>
<mml:mi>j</mml:mi>
<mml:mrow>
<mml:mi>A</mml:mi>
<mml:mi>j</mml:mi>
</mml:mrow>
</mml:msub>
</mml:mfenced>
</mml:mrow>
</mml:mrow>","τ = Symbol('τ')
W = Symbol('W')
j_Aj = Symbol('j_Aj')
e = Eq(τ, sin(W) + cos(j_Aj))"
"<mml:mi>b</mml:mi>
<mml:mo>=</mml:mo>
<mml:msup>
<mml:msup>
<mml:mtext>exp</mml:mtext>
<mml:msub>
<mml:mi>H</mml:mi>
<mml:mrow>
<mml:mi>Ψ</mml:mi>
<mml:mi>e</mml:mi>
<mml:mi>W</mml:mi>
</mml:mrow>
</mml:msub>
</mml:msup>
<mml:mi>B</mml:mi>
</mml:msup>","b = Symbol('b')
B = Symbol('B')
H_ΨeW = Symbol('H_ΨeW')
e = Eq(b, exp(H_ΨeW)**B)"
"<mml:mi>Ρ</mml:mi>
<mml:mo>=</mml:mo>
<mml:mrow>
<mml:msqrt>
<mml:mi>x</mml:mi>
</mml:msqrt>
<mml:mo>-</mml:mo>
<mml:mrow>
<mml:mi>log</mml:mi>
<mml:mfenced>
<mml:msup>
<mml:mi>Ξ</mml:mi>
<mml:mn>9</mml:mn>
</mml:msup>
</mml:mfenced>
</mml:mrow>
<mml:mo>-</mml:mo>
<mml:mn>3</mml:mn>
</mml:mrow>","Ρ = Symbol('Ρ')
x = Symbol('x')
Ξ = Symbol('Ξ')
e = Eq(Ρ, sqrt(x) - log(Ξ**9) - 3)"
"<mml:mi>θ</mml:mi>
<mml:mo>=</mml:mo>
<mml:mrow>
<mml:mrow>
<mml:mi>log</mml:mi>
<mml:mfenced>
<mml:mi>π</mml:mi>
</mml:mfenced>
</mml:mrow>
<mml:mo>-</mml:mo>
<mml:mn>40</mml:mn>
</mml:mrow>","θ = Symbol('θ')
π = Symbol('π')
e = Eq(θ, log(π) - 40)"
"<mml:msub>
<mml:mi>Π</mml:mi>
<mml:mi>e</mml:mi>
</mml:msub>
<mml:mo>=</mml:mo>
<mml:mrow>
<mml:msup>
<mml:mrow>
<mml:mi>sin</mml:mi>
<mml:mfenced>
<mml:mrow>
<mml:mfrac>
<mml:msub>
<mml:mi>Α</mml:mi>
<mml:mrow>
<mml:mi>ω</mml:mi>
<mml:mi>π</mml:mi>
<mml:mi>F</mml:mi>
</mml:mrow>
</mml:msub>
<mml:mn>7</mml:mn>
</mml:mfrac>
</mml:mrow>
</mml:mfenced>
</mml:mrow>
<mml:mrow>
<mml:mi>cos</mml:mi>
<mml:mfenced>
<mml:mi>T</mml:mi>
</mml:mfenced>
</mml:mrow>
</mml:msup>
<mml:mo>+</mml:mo>
<mml:mrow>
<mml:mi>sin</mml:mi>
<mml:mfenced>
<mml:msub>
<mml:mi>γ</mml:mi>
<mml:mrow>
<mml:mi>Γ</mml:mi>
<mml:mi>i</mml:mi>
<mml:mi>ρ</mml:mi>
</mml:mrow>
</mml:msub>
</mml:mfenced>
</mml:mrow>
</mml:mrow>","Π_e = Symbol('Π_e')
T = Symbol('T')
Α_ωπF = Symbol('Α_ωπF')
γ_Γiρ = Symbol('γ_Γiρ')
e = Eq(Π_e, sin(Α_ωπF/7)**cos(T) + sin(γ_Γiρ))"
